DATAFLOW,MEASURE: Data Item,REGIONTYPE: Region Type,REGION: Region,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2019,245389.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2020,246618.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2021,244155.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2022,244395.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2023,252330.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2024,257351.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2019,114376.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2020,118789.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2021,122142.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2022,124817.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2023,127735.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2024,133800.0,PSNS: Persons,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2019,8.1,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2020,7.9,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2021,7.5,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2022,7.5,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2023,7.8,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ERP_P_26: Estimated resident population:Persons aged 25-29 years (%),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2024,8.0,PCT: Percent,,,
ABS:ABS_REGIONAL_REMOTENESS_ASGS2021(1.4.0),ING_YR12C3P1: Aboriginal and Torres Strait Islander Peoples:20-24 year olds that attained Year 12 or equivalent or Certificate III or above (no.),RA: Remoteness Area,10: Major Cities of Australia (NSW),A: Annual,2011,3615.0,PSNS: Persons,,,
