dataflow,measure,region_type,region,frequency,year,obs_value,unit_measure,unit_mult,obs_status,obs_comment,state_name_full,state
ABS:ABS_REGIONAL_ASGS2021(1.4.0),LAND: Land area (ha),STE: States and Territories,6: Tasmania,A: Annual,2021,6801753.9,HA: Hectares,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_33: Estimated resident population:Females aged 60-64 years (%),STE: States and Territories,4: South Australia,A: Annual,2019,6.2,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_33: Estimated resident population:Females aged 60-64 years (%),STE: States and Territories,4: South Australia,A: Annual,2020,6.3,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_33: Estimated resident population:Females aged 60-64 years (%),STE: States and Territories,4: South Australia,A: Annual,2021,6.4,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_33: Estimated resident population:Females aged 60-64 years (%),STE: States and Territories,4: South Australia,A: Annual,2022,6.4,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_33: Estimated resident population:Females aged 60-64 years (%),STE: States and Territories,4: South Australia,A: Annual,2023,6.4,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_32: Estimated resident population:Males aged 55-59 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2019,5.3,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_32: Estimated resident population:Males aged 55-59 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2020,5.3,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_32: Estimated resident population:Males aged 55-59 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2021,5.2,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_32: Estimated resident population:Males aged 55-59 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2022,5.0,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_32: Estimated resident population:Males aged 55-59 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2023,5.0,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_27: Estimated resident population:Females aged 30-34 years (%),STE: States and Territories,5: Western Australia,A: Annual,2019,7.8,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_27: Estimated resident population:Females aged 30-34 years (%),STE: States and Territories,5: Western Australia,A: Annual,2020,7.7,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_27: Estimated resident population:Females aged 30-34 years (%),STE: States and Territories,5: Western Australia,A: Annual,2021,7.6,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_27: Estimated resident population:Females aged 30-34 years (%),STE: States and Territories,5: Western Australia,A: Annual,2022,7.4,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_27: Estimated resident population:Females aged 30-34 years (%),STE: States and Territories,5: Western Australia,A: Annual,2023,7.5,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),STE: States and Territories,4: South Australia,A: Annual,2019,52012.0,PSNS: Persons,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),STE: States and Territories,4: South Australia,A: Annual,2020,53347.0,PSNS: Persons,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),STE: States and Territories,4: South Australia,A: Annual,2021,54641.0,PSNS: Persons,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),STE: States and Territories,4: South Australia,A: Annual,2022,55604.0,PSNS: Persons,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),STE: States and Territories,4: South Australia,A: Annual,2023,56156.0,PSNS: Persons,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),STE: States and Territories,6: Tasmania,A: Annual,2019,35180.0,PSNS: Persons,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),STE: States and Territories,6: Tasmania,A: Annual,2020,34796.0,PSNS: Persons,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),STE: States and Territories,6: Tasmania,A: Annual,2021,33861.0,PSNS: Persons,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),STE: States and Territories,6: Tasmania,A: Annual,2022,32824.0,PSNS: Persons,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),STE: States and Territories,6: Tasmania,A: Annual,2023,32149.0,PSNS: Persons,,,,Tasmania,TAS
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,4: South Australia,A: Annual,2019,6.0,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,4: South Australia,A: Annual,2020,5.9,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,4: South Australia,A: Annual,2021,5.9,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,4: South Australia,A: Annual,2022,5.8,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,4: South Australia,A: Annual,2023,5.7,PCT: Percent,,,,South Australia,SA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,2: Victoria,A: Annual,2019,2.1,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,2: Victoria,A: Annual,2020,2.1,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,2: Victoria,A: Annual,2021,2.1,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,2: Victoria,A: Annual,2022,2.1,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,2: Victoria,A: Annual,2023,2.1,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),STE: States and Territories,5: Western Australia,A: Annual,2019,7.4,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),STE: States and Territories,5: Western Australia,A: Annual,2020,7.5,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),STE: States and Territories,5: Western Australia,A: Annual,2021,7.6,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),STE: States and Territories,5: Western Australia,A: Annual,2022,7.6,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),STE: States and Territories,5: Western Australia,A: Annual,2023,7.7,PCT: Percent,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,8: Australian Capital Territory,A: Annual,2019,8005.0,PSNS: Persons,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,8: Australian Capital Territory,A: Annual,2020,8537.0,PSNS: Persons,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,8: Australian Capital Territory,A: Annual,2021,8965.0,PSNS: Persons,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,8: Australian Capital Territory,A: Annual,2022,8948.0,PSNS: Persons,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,8: Australian Capital Territory,A: Annual,2023,9027.0,PSNS: Persons,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,7: Northern Territory,A: Annual,2019,0.4,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,7: Northern Territory,A: Annual,2020,0.5,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,7: Northern Territory,A: Annual,2021,0.5,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,7: Northern Territory,A: Annual,2022,0.5,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_38: Estimated resident population:Persons aged 85 and over (%),STE: States and Territories,7: Northern Territory,A: Annual,2023,0.6,PCT: Percent,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),STE: States and Territories,3: Queensland,A: Annual,2019,171263.0,PSNS: Persons,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),STE: States and Territories,3: Queensland,A: Annual,2020,171954.0,PSNS: Persons,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),STE: States and Territories,3: Queensland,A: Annual,2021,169461.0,PSNS: Persons,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),STE: States and Territories,3: Queensland,A: Annual,2022,167321.0,PSNS: Persons,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),STE: States and Territories,3: Queensland,A: Annual,2023,165343.0,PSNS: Persons,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_35: Estimated resident population:Females aged 70-74 years (%),STE: States and Territories,1: New South Wales,A: Annual,2019,4.3,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_35: Estimated resident population:Females aged 70-74 years (%),STE: States and Territories,1: New South Wales,A: Annual,2020,4.5,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_35: Estimated resident population:Females aged 70-74 years (%),STE: States and Territories,1: New South Wales,A: Annual,2021,4.6,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_35: Estimated resident population:Females aged 70-74 years (%),STE: States and Territories,1: New South Wales,A: Annual,2022,4.6,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_35: Estimated resident population:Females aged 70-74 years (%),STE: States and Territories,1: New South Wales,A: Annual,2023,4.5,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,5: Western Australia,A: Annual,2023,61510.0,PSNS: Persons,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),STE: States and Territories,2: Victoria,A: Annual,2019,195022.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),STE: States and Territories,2: Victoria,A: Annual,2020,192226.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),STE: States and Territories,2: Victoria,A: Annual,2021,188390.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),STE: States and Territories,2: Victoria,A: Annual,2022,188366.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),STE: States and Territories,2: Victoria,A: Annual,2023,189885.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_36: Estimated resident population:Females aged 75-79 years (%),STE: States and Territories,1: New South Wales,A: Annual,2019,3.1,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_36: Estimated resident population:Females aged 75-79 years (%),STE: States and Territories,1: New South Wales,A: Annual,2020,3.2,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_36: Estimated resident population:Females aged 75-79 years (%),STE: States and Territories,1: New South Wales,A: Annual,2021,3.3,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_36: Estimated resident population:Females aged 75-79 years (%),STE: States and Territories,1: New South Wales,A: Annual,2022,3.5,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_36: Estimated resident population:Females aged 75-79 years (%),STE: States and Territories,1: New South Wales,A: Annual,2023,3.7,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,5: Western Australia,A: Annual,2019,52425.0,PSNS: Persons,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,5: Western Australia,A: Annual,2020,56194.0,PSNS: Persons,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,5: Western Australia,A: Annual,2021,59306.0,PSNS: Persons,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,5: Western Australia,A: Annual,2022,60020.0,PSNS: Persons,,,,Western Australia,WA
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_21: Estimated resident population:Males aged 0-4 years (%),STE: States and Territories,3: Queensland,A: Annual,2019,6.4,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_21: Estimated resident population:Males aged 0-4 years (%),STE: States and Territories,3: Queensland,A: Annual,2020,6.2,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_21: Estimated resident population:Males aged 0-4 years (%),STE: States and Territories,3: Queensland,A: Annual,2021,6.0,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_21: Estimated resident population:Males aged 0-4 years (%),STE: States and Territories,3: Queensland,A: Annual,2022,6.0,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_21: Estimated resident population:Males aged 0-4 years (%),STE: States and Territories,3: Queensland,A: Annual,2023,5.9,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,3: Queensland,A: Annual,2023,6.1,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,3: Queensland,A: Annual,2019,6.6,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,3: Queensland,A: Annual,2020,6.5,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,3: Queensland,A: Annual,2021,6.4,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),STE: States and Territories,3: Queensland,A: Annual,2022,6.3,PCT: Percent,,,,Queensland,QLD
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,2: Victoria,A: Annual,2022,147082.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,2: Victoria,A: Annual,2023,148991.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,2: Victoria,A: Annual,2019,135298.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,2: Victoria,A: Annual,2020,142468.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),STE: States and Territories,2: Victoria,A: Annual,2021,147137.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_30: Estimated resident population:Females aged 45-49 years (%),STE: States and Territories,1: New South Wales,A: Annual,2019,6.6,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_30: Estimated resident population:Females aged 45-49 years (%),STE: States and Territories,1: New South Wales,A: Annual,2020,6.5,PCT: Percent,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_30: Estimated resident population:Females aged 45-49 years (%),STE: States and Territories,1: New South Wales,A: Annual,2021,6.4,PCT: Percent,,,,New South Wales,NSW
