year,reporting_entity,facility_name,facility_type,state,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,grid_connected,primary_fuel,important_notes,controlling_corporation
2020,ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,555151.0,154209.0,50.0,95.0,145.0,0.0,On,Wind,,
2020,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,636185.0,176718.0,45.0,143.0,188.0,0.0,On,Wind,,
2020,ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1086174.0,301715.0,49.0,308.0,357.0,0.0,On,Wind,,
2020,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2414107.0,670585.0,139.0,452.0,591.0,0.0,On,Wind,,
2020,ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,589185.0,163662.0,0.0,0.0,0.0,0.0,On,Solar,,
2020,AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,126183.0,35051.0,8.0,39.0,47.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,901686.0,250468.0,110595.0,1553.0,112148.0,0.44,On,Gas,,
2020,AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,56724062.0,15756684.0,14013621.0,24693.0,14038314.0,0.89,On,Black Coal,,
2020,AGL ENERGY LIMITED,Bogong Power Station,F,VIC,302433.0,84009.0,79.0,585.0,664.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,299498.0,83194.0,78.0,395.0,473.0,0.0,On,Solar,,
2020,AGL ENERGY LIMITED,Clover Hydro,F,VIC,804.0,223.0,2.0,406.0,408.0,0.01,On,Hydro,,
2020,AGL ENERGY LIMITED,Copeton Hydro,F,NSW,4378.0,1216.0,1.0,0.0,1.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1035344.0,287595.0,0.0,242.0,242.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Eildon Hydro,F,VIC,361514.0,100421.0,0.0,193.0,193.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,6.0,2.0,0.0,11.0,11.0,0.0,On,Hydro,,
2020,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1058072.0,293909.0,85.0,195.0,280.0,0.0,On,Wind,,
2020,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,844578.0,234605.0,71.0,154.0,225.0,0.0,On,Wind,,
2020,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1539619.0,427672.0,152.0,320.0,472.0,0.0,On,Wind,,
2020,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,516226.0,143396.0,61.0,151.0,212.0,0.0,On,Wind,,
2020,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,6596.0,1832.0,2334.0,7.0,2341.0,1.27,On,Gas,,
2020,AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,442826.0,123007.0,71151.0,0.0,71151.0,0.58,On,Gas,,
2020,AGL ENERGY LIMITED,Liddell Power Station,F,NSW,37960485.0,10544579.0,9970686.0,40748.0,10011434.0,0.95,On,Black Coal,,
2020,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,52787806.0,14663279.0,16683326.0,242951.0,16926277.0,1.14,On,Brown Coal,,
